font,fontVariant,m_label,strength,italic,orientation,m_top,m_left,originalH,originalW,h,w,r0c0,r0c1,r0c2,r0c3,r0c4,r0c5,r0c6,r0c7,r0c8,r0c9,r0c10,r0c11,r0c12,r0c13,r0c14,r0c15,r0c16,r0c17,r0c18,r0c19,r1c0,r1c1,r1c2,r1c3,r1c4,r1c5,r1c6,r1c7,r1c8,r1c9,r1c10,r1c11,r1c12,r1c13,r1c14,r1c15,r1c16,r1c17,r1c18,r1c19,r2c0,r2c1,r2c2,r2c3,r2c4,r2c5,r2c6,r2c7,r2c8,r2c9,r2c10,r2c11,r2c12,r2c13,r2c14,r2c15,r2c16,r2c17,r2c18,r2c19,r3c0,r3c1,r3c2,r3c3,r3c4,r3c5,r3c6,r3c7,r3c8,r3c9,r3c10,r3c11,r3c12,r3c13,r3c14,r3c15,r3c16,r3c17,r3c18,r3c19,r4c0,r4c1,r4c2,r4c3,r4c4,r4c5,r4c6,r4c7,r4c8,r4c9,r4c10,r4c11,r4c12,r4c13,r4c14,r4c15,r4c16,r4c17,r4c18,r4c19,r5c0,r5c1,r5c2,r5c3,r5c4,r5c5,r5c6,r5c7,r5c8,r5c9,r5c10,r5c11,r5c12,r5c13,r5c14,r5c15,r5c16,r5c17,r5c18,r5c19,r6c0,r6c1,r6c2,r6c3,r6c4,r6c5,r6c6,r6c7,r6c8,r6c9,r6c10,r6c11,r6c12,r6c13,r6c14,r6c15,r6c16,r6c17,r6c18,r6c19,r7c0,r7c1,r7c2,r7c3,r7c4,r7c5,r7c6,r7c7,r7c8,r7c9,r7c10,r7c11,r7c12,r7c13,r7c14,r7c15,r7c16,r7c17,r7c18,r7c19,r8c0,r8c1,r8c2,r8c3,r8c4,r8c5,r8c6,r8c7,r8c8,r8c9,r8c10,r8c11,r8c12,r8c13,r8c14,r8c15,r8c16,r8c17,r8c18,r8c19,r9c0,r9c1,r9c2,r9c3,r9c4,r9c5,r9c6,r9c7,r9c8,r9c9,r9c10,r9c11,r9c12,r9c13,r9c14,r9c15,r9c16,r9c17,r9c18,r9c19,r10c0,r10c1,r10c2,r10c3,r10c4,r10c5,r10c6,r10c7,r10c8,r10c9,r10c10,r10c11,r10c12,r10c13,r10c14,r10c15,r10c16,r10c17,r10c18,r10c19,r11c0,r11c1,r11c2,r11c3,r11c4,r11c5,r11c6,r11c7,r11c8,r11c9,r11c10,r11c11,r11c12,r11c13,r11c14,r11c15,r11c16,r11c17,r11c18,r11c19,r12c0,r12c1,r12c2,r12c3,r12c4,r12c5,r12c6,r12c7,r12c8,r12c9,r12c10,r12c11,r12c12,r12c13,r12c14,r12c15,r12c16,r12c17,r12c18,r12c19,r13c0,r13c1,r13c2,r13c3,r13c4,r13c5,r13c6,r13c7,r13c8,r13c9,r13c10,r13c11,r13c12,r13c13,r13c14,r13c15,r13c16,r13c17,r13c18,r13c19,r14c0,r14c1,r14c2,r14c3,r14c4,r14c5,r14c6,r14c7,r14c8,r14c9,r14c10,r14c11,r14c12,r14c13,r14c14,r14c15,r14c16,r14c17,r14c18,r14c19,r15c0,r15c1,r15c2,r15c3,r15c4,r15c5,r15c6,r15c7,r15c8,r15c9,r15c10,r15c11,r15c12,r15c13,r15c14,r15c15,r15c16,r15c17,r15c18,r15c19,r16c0,r16c1,r16c2,r16c3,r16c4,r16c5,r16c6,r16c7,r16c8,r16c9,r16c10,r16c11,r16c12,r16c13,r16c14,r16c15,r16c16,r16c17,r16c18,r16c19,r17c0,r17c1,r17c2,r17c3,r17c4,r17c5,r17c6,r17c7,r17c8,r17c9,r17c10,r17c11,r17c12,r17c13,r17c14,r17c15,r17c16,r17c17,r17c18,r17c19,r18c0,r18c1,r18c2,r18c3,r18c4,r18c5,r18c6,r18c7,r18c8,r18c9,r18c10,r18c11,r18c12,r18c13,r18c14,r18c15,r18c16,r18c17,r18c18,r18c19,r19c0,r19c1,r19c2,r19c3,r19c4,r19c5,r19c6,r19c7,r19c8,r19c9,r19c10,r19c11,r19c12,r19c13,r19c14,r19c15,r19c16,r19c17,r19c18,r19c19
MATURA,MATURA MT SCRIPT CAPITALS,8217,0.700000,1,0.000000,34,30,17,20,20,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,255,255,255,255,255,255,1,1,1,1,1,1,1,1,1,1,1,1,1,211,255,255,255,255,255,255,1,1,1,1,1,1,1,1,1,1,1,1,166,255,255,255,255,255,255,91,1,1,1,1,1,1,1,1,1,1,1,121,255,255,255,255,255,255,136,1,1,1,1,1,1,1,1,1,1,1,76,255,255,255,255,255,255,181,1,1,1,1,1,1,1,1,1,1,1,31,255,255,255,255,255,255,226,1,1,1,1,1,1,1,1,1,1,1,1,255,255,255,255,255,255,255,1,1,1,1,1,1,1,1,1,1,1,1,241,255,255,255,255,255,255,16,1,1,1,1,1,1,1,1,1,1,1,196,255,255,255,255,255,255,61,1,1,1,1,1,1,1,1,1,1,1,151,255,255,255,255,255,255,106,1,1,1,1,1,1,1,1,1,1,1,1,255,255,255,255,255,255,151,1,1,1,1,1,1,1,1,1,1,1,1,61,255,255,255,255,255,196,1,1,1,1,1,1,1,1,1,1,1,1,16,255,255,255,255,255,241,1,1,1,1,1,1,1,1,1,1,1,1,1,255,255,255,255,255,255,1,1,1,1,1,1,1,1,1,1,1,1,1,226,255,255,255,255,255,31,1,1,1,1,1,1,1,1,1,1,1,1,181,255,255,255,255,255,76,1,1,1,1,1,1,1,1,1,1,1,1,136,255,255,255,255,255,121,1,1,1,1,1,1,1,1,1,1,1,1,91,255,255,255,255,255,166,1,1,1,1,1,1,1,1,1,1,1,1,1,255,255,255,255,255,211,1,1,1,1,1,1,1,1,1,1,1,1,1,1,255,255,255,255,255,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MATURA,MATURA MT SCRIPT CAPITALS,8216,0.700000,1,0.000000,34,30,17,20,20,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,255,255,255,255,255,1,1,1,1,1,1,1,1,1,1,1,1,1,1,211,255,255,255,255,255,1,1,1,1,1,1,1,1,1,1,1,1,1,166,255,255,255,255,255,91,1,1,1,1,1,1,1,1,1,1,1,1,121,255,255,255,255,255,136,1,1,1,1,1,1,1,1,1,1,1,1,76,255,255,255,255,255,181,1,1,1,1,1,1,1,1,1,1,1,1,31,255,255,255,255,255,255,1,1,1,1,1,1,1,1,1,1,1,1,1,255,255,255,255,255,255,255,1,1,1,1,1,1,1,1,1,1,1,1,241,255,255,255,255,255,255,16,1,1,1,1,1,1,1,1,1,1,1,196,255,255,255,255,255,255,61,1,1,1,1,1,1,1,1,1,1,1,151,255,255,255,255,255,255,106,1,1,1,1,1,1,1,1,1,1,1,106,255,255,255,255,255,255,151,1,1,1,1,1,1,1,1,1,1,1,61,255,255,255,255,255,255,196,1,1,1,1,1,1,1,1,1,1,1,16,255,255,255,255,255,255,241,1,1,1,1,1,1,1,1,1,1,1,1,255,255,255,255,255,255,255,1,1,1,1,1,1,1,1,1,1,1,1,226,255,255,255,255,255,255,255,1,1,1,1,1,1,1,1,1,1,1,181,255,255,255,255,255,255,255,76,1,1,1,1,1,1,1,1,1,1,136,255,255,255,255,255,255,255,121,1,1,1,1,1,1,1,1,1,1,91,255,255,255,255,255,255,255,166,1,1,1,1,1,1,1,1,1,1,1,255,255,255,255,255,255,255,211,1,1,1,1,1,1,1,1,1,1,1,1,255,255,255,255,255,255,255,1,1,1,1,1,1,1,1,1,1,1,1,1
MATURA,MATURA MT SCRIPT CAPITALS,8212,0.700000,1,0.000000,60,23,5,71,20,20,128,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,128,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,128,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,128,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,128,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,128,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,128,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,128,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,128,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,128,128,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,128,128,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,128,128,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,128,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,128,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,128,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,128,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,128,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1
MATURA,MATURA MT SCRIPT CAPITALS,8211,0.700000,1,0.000000,60,23,5,38,20,20,122,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,122,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,122,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,122,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,122,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,122,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,122,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,122,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,122,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,122,122,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,122,122,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,122,122,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,122,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,122,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,122,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,122,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,122,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,242,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,242,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,242,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,242,1
MATURA,MATURA MT SCRIPT CAPITALS,960,0.700000,1,0.000000,42,27,35,51,20,20,1,1,166,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1,3,191,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,227,1,25,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,156,1,111,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,98,1,1,1,121,255,255,255,255,61,1,1,1,116,255,255,255,241,38,1,1,1,1,1,206,255,255,255,221,9,1,1,1,201,255,255,255,221,1,1,1,1,1,10,226,255,255,255,201,1,1,1,9,221,255,255,255,149,1,1,1,1,1,66,255,255,255,255,116,1,1,1,61,255,255,255,255,121,1,1,1,1,1,108,255,255,255,255,73,1,1,1,103,255,255,255,255,21,1,1,1,1,1,166,255,255,255,231,11,1,1,1,161,255,255,255,187,3,1,1,1,1,8,230,255,255,255,171,1,1,1,4,228,255,255,255,161,1,1,1,1,1,11,255,255,255,255,113,1,1,1,63,255,255,255,255,76,1,1,1,1,1,111,255,255,255,255,71,1,1,1,106,255,255,255,245,43,1,1,1,1,1,139,255,255,255,230,11,1,1,1,191,255,255,255,231,1,1,1,1,1,1,211,255,255,255,211,1,1,1,8,213,255,255,255,159,1,1,1,1,1,32,236,255,255,255,126,1,1,1,51,255,255,255,255,131,1,1,1,1,1,56,255,255,255,255,83,1,1,1,93,255,255,255,255,31,1,1,1,1,1,141,255,255,255,255,26,1,1,1,151,255,255,255,236,22,1,1,1,1,1,170,255,255,255,202,8,1,1,1,222,255,255,255,186,1,1,1,1,1,1,255,255,255,255,181,1,1,1,1,251,255,255,255,128,1,1,1,1,1,1
MATURA,MATURA MT SCRIPT CAPITALS,733,0.700000,1,0.000000,35,35,12,30,20,20,1,1,1,1,1,171,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1,1,1,1,29,199,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1,1,1,1,86,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1,1,1,1,199,255,255,255,255,255,255,255,255,255,255,255,255,255,199,86,1,1,1,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,171,1,1,1,1,171,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1,1,1,1,29,199,255,255,255,255,255,199,255,255,255,255,255,255,227,171,1,1,1,1,86,255,255,255,255,255,255,86,255,255,255,255,255,255,171,1,1,1,1,1,86,255,255,255,255,255,199,142,255,255,255,255,255,255,57,1,1,1,1,1,86,255,255,255,255,255,171,171,255,255,255,255,255,255,1,1,1,1,1,1,255,255,255,255,255,255,1,171,255,255,255,255,255,86,1,1,1,1,1,57,255,255,255,255,227,171,29,199,255,255,255,255,171,57,1,1,1,1,1,171,255,255,255,255,171,1,86,255,255,255,255,255,1,1,1,1,1,1,57,227,255,255,255,255,57,1,199,255,255,255,255,142,1,1,1,1,1,1,86,255,255,255,255,255,1,1,255,255,255,255,255,86,1,1,1,1,1,1,255,255,255,255,255,86,1,171,255,255,255,255,1,1,1,1,1,1,1,1,255,255,255,255,171,57,1,171,255,255,255,199,1,1,1,1,1,1,1,1,255,255,255,255,1,1,1,171,255,255,255,86,1,1,1,1,1,1,1,1,142,255,255,142,1,1,1,57,255,255,199,29,1,1,1,1,1,1,1,1,86,255,255,86,1,1,1,1,255,255,171,1,1,1,1,1,1,1,1,1
MATURA,MATURA MT SCRIPT CAPITALS,732,0.700000,1,0.000000,36,32,10,27,20,20,1,1,1,1,1,19,255,255,255,161,1,1,1,1,1,1,180,255,255,67,1,1,1,1,1,19,255,255,255,161,1,1,1,1,1,1,180,255,255,67,1,1,1,1,1,208,255,255,255,255,255,218,1,1,1,114,255,255,255,255,1,1,1,1,1,208,255,255,255,255,255,218,1,1,1,114,255,255,255,255,1,1,1,1,142,255,255,255,255,255,255,255,255,255,67,255,255,255,255,255,1,1,1,1,142,255,255,255,255,255,255,255,255,255,67,255,255,255,255,255,1,1,1,76,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,67,1,1,1,76,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,67,1,1,10,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,133,1,1,1,10,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,133,1,1,1,199,255,255,255,255,255,255,255,255,255,255,255,255,255,255,199,1,1,1,1,199,255,255,255,255,255,255,255,255,255,255,255,255,255,255,199,1,1,1,133,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,10,1,1,1,133,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,10,1,1,67,255,255,255,255,48,86,255,255,255,255,255,255,255,255,255,76,1,1,1,67,255,255,255,255,48,86,255,255,255,255,255,255,255,255,255,76,1,1,1,255,255,255,255,114,1,1,1,29,255,255,255,255,255,255,142,1,1,1,1,255,255,255,255,114,1,1,1,29,255,255,255,255,255,255,142,1,1,1,1,255,255,255,180,1,1,1,1,1,1,161,255,255,255,19,1,1,1,1,1,255,255,255,180,1,1,1,1,1,1,161,255,255,255,19,1,1,1,1,1
MATURA,MATURA MT SCRIPT CAPITALS,731,0.700000,1,0.000000,76,22,17,17,20,20,1,1,1,1,1,31,255,255,255,255,255,255,255,255,255,255,255,255,211,1,1,1,1,1,62,216,255,255,255,255,255,255,255,255,255,255,255,255,211,1,1,1,1,78,192,255,255,255,255,255,255,255,255,255,255,255,255,197,75,1,1,1,1,121,255,255,255,255,255,255,255,255,255,255,255,255,192,88,1,1,1,1,49,160,255,255,255,255,255,255,255,255,255,255,255,203,85,1,1,1,1,25,176,255,255,255,255,255,255,255,255,255,255,255,229,67,1,1,1,1,1,211,255,255,255,255,255,255,255,255,255,255,255,255,31,1,1,1,1,1,1,211,255,255,255,255,255,255,255,255,255,255,241,16,2,1,1,1,1,1,196,245,255,255,255,255,255,255,255,255,255,255,241,1,1,1,1,1,1,1,255,255,255,255,255,255,255,255,255,255,255,220,99,1,1,1,1,1,1,1,255,255,255,255,255,255,255,255,255,255,255,196,1,1,1,1,1,1,1,1,255,255,255,255,255,255,255,255,255,255,255,210,57,1,1,1,1,1,1,1,241,253,255,255,255,255,255,255,255,255,255,255,241,16,2,1,1,1,1,1,1,211,255,255,255,255,255,255,255,255,255,255,255,255,31,1,1,1,1,1,1,211,255,255,255,255,255,255,255,255,255,255,255,255,229,67,1,1,1,1,1,62,192,255,255,255,255,255,255,255,255,255,255,255,255,203,181,181,181,181,1,1,78,184,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1,1,1,78,166,176,255,255,255,255,255,255,255,255,255,255,255,255,240,166,1,1,1,1,1,25,211,211,211,237,255,255,255,255,255,255,255,255,211,1,1,1,1,1,1,1,1,1,1,151,255,255,255,255,255,255,255,255,211,1
MATURA,MATURA MT SCRIPT CAPITALS,730,0.700000,1,0.000000,33,36,13,17,20,20,1,1,1,1,1,1,1,1,196,255,255,255,255,255,255,255,255,166,1,1,1,1,1,1,1,15,118,118,223,255,255,255,255,255,255,255,255,207,118,118,1,1,1,1,1,31,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1,1,1,1,70,238,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1,1,1,47,145,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1,1,1,121,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1,1,140,235,255,255,255,255,255,255,167,40,53,255,255,255,255,255,255,255,1,65,193,255,255,255,255,255,255,209,105,1,16,255,255,255,255,255,255,255,1,211,255,255,255,255,255,255,255,106,1,1,16,255,255,255,255,255,255,255,1,211,255,255,255,255,255,255,255,106,1,1,16,255,255,255,255,255,255,255,60,221,255,255,255,255,255,255,255,106,1,15,71,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,106,1,61,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,106,1,61,255,255,255,255,255,255,224,79,255,255,255,255,255,255,255,255,255,129,40,91,255,255,255,255,255,242,178,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,166,1,1,99,228,255,255,255,255,255,255,255,255,255,255,255,255,255,255,173,64,1,1,1,211,255,255,255,255,255,255,255,255,255,255,255,255,238,236,112,1,1,1,1,211,255,255,255,255,255,255,255,255,255,255,255,255,31,1,1,1,1,1,1,98,118,183,255,255,255,255,255,255,255,223,118,118,15,1,1,1,1,1,1,1,1,121,255,255,255,255,255,255,255,196,1,1,1,1,1,1,1,1
MATURA,MATURA MT SCRIPT CAPITALS,729,0.700000,1,0.000000,36,38,11,14,20,20,1,1,1,1,1,1,1,219,255,255,255,255,255,255,74,1,1,1,1,1,1,1,1,1,1,1,1,219,255,255,255,255,255,255,107,47,47,47,27,1,1,1,1,1,1,1,1,219,255,255,255,255,255,255,255,255,255,255,146,1,1,1,1,1,1,27,93,232,255,255,255,255,255,255,255,255,255,255,186,93,1,1,1,1,1,74,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1,1,1,1,100,173,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1,1,1,1,183,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1,1,1,1,183,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1,1,1,1,183,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1,1,34,232,249,255,255,255,255,255,255,255,255,255,255,255,255,255,156,24,1,14,57,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,146,1,1,146,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,146,1,1,146,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,196,107,1,1,146,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,37,1,1,117,196,255,255,255,255,255,255,255,255,255,255,255,255,255,222,140,21,1,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,183,1,1,1,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,140,67,1,1,1,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,74,1,1,1,1,1,47,47,77,255,255,255,255,255,255,255,255,255,226,47,14,1,1,1,1,1,1,1,37,255,255,255,255,255,255,255,255,255,219,1,1,1,1,1,1,1
MATURA,MATURA MT SCRIPT CAPITALS,728,0.700000,1,0.000000,35,36,11,24,20,20,1,1,1,171,255,213,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,47,47,186,255,213,1,1,1,1,1,1,1,1,1,47,47,47,47,8,43,255,255,255,255,213,1,1,1,1,1,1,1,1,1,255,255,255,255,43,43,255,255,255,255,228,62,1,1,1,1,1,1,62,93,255,255,255,255,120,43,255,255,255,255,255,171,1,1,1,1,1,1,171,255,255,255,255,255,255,159,255,255,255,255,255,171,1,1,1,1,47,140,217,255,255,255,255,255,255,255,255,255,255,255,255,171,1,1,1,1,86,255,255,255,255,255,255,255,255,255,255,255,255,255,255,232,93,1,1,186,209,255,255,255,255,255,255,132,70,255,255,255,255,255,255,255,128,1,1,255,255,255,255,255,255,255,255,86,1,255,255,255,255,255,255,255,244,232,232,255,255,255,255,255,255,178,24,8,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,252,155,1,1,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,213,1,1,1,1,198,255,255,255,255,255,255,255,255,255,255,255,255,255,255,155,1,1,1,1,43,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1,1,1,1,1,43,255,255,255,255,255,255,255,255,255,255,255,255,178,140,1,1,1,1,1,43,255,255,255,255,255,255,255,255,255,255,255,255,86,1,1,1,1,1,1,16,147,255,255,255,255,255,255,255,255,255,201,93,31,1,1,1,1,1,1,1,86,255,255,255,255,255,255,255,255,255,171,1,1,1,1,1,1,1,1,1,16,151,255,255,255,255,255,255,255,47,31,1,1,1,1,1,1,1,1,1,1,128,255,255,255,255,255,255,255,1,1,1,1,1,1,1,1,1,1
MATURA,MATURA MT SCRIPT CAPITALS,713,0.700000,1,0.000000,37,35,6,23,20,20,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,86,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1
MATURA,MATURA MT SCRIPT CAPITALS,711,0.700000,1,0.000000,35,36,11,23,20,20,1,1,1,1,167,255,244,1,1,1,1,1,1,1,1,89,255,255,67,1,1,13,47,47,183,255,246,39,1,1,1,1,1,1,11,119,255,255,101,47,1,67,255,255,255,255,255,211,1,1,1,1,1,1,56,255,255,255,255,255,93,136,255,255,255,255,255,227,65,1,1,1,1,9,129,255,255,255,255,255,255,255,255,255,255,255,255,255,178,1,1,1,1,23,255,255,255,255,255,255,255,255,255,255,255,255,255,255,178,1,1,1,115,150,255,255,255,255,153,116,255,255,255,255,255,255,255,255,178,1,1,1,211,255,255,255,255,255,67,1,94,255,255,255,255,255,255,255,234,105,1,130,243,255,255,255,255,143,19,1,34,255,255,255,255,255,255,255,255,145,1,178,255,255,255,255,255,100,1,1,4,84,255,255,255,255,255,255,255,145,132,248,255,255,255,255,145,10,1,1,1,67,255,255,255,255,255,255,255,155,155,255,255,255,255,247,121,1,1,1,1,67,255,255,255,255,255,255,255,255,255,255,255,255,255,167,1,1,1,1,1,49,213,255,255,255,255,255,255,255,255,255,255,249,186,121,1,1,1,1,1,1,100,255,255,255,255,255,255,255,255,255,255,233,1,1,1,1,1,1,1,1,100,255,255,255,255,255,255,255,255,255,255,133,1,1,1,1,1,1,1,1,100,255,255,255,255,255,255,255,255,255,255,12,1,1,1,1,1,1,1,1,37,178,255,255,255,255,255,255,255,255,121,5,1,1,1,1,1,1,1,1,1,134,255,255,255,255,255,255,255,255,45,1,1,1,1,1,1,1,1,1,1,134,255,255,255,255,255,255,255,110,9,1,1,1,1,1,1,1,1,1,1,134,255,255,255,255,255,255,255,78,1,1,1,1,1,1,1,1
MATURA,MATURA MT SCRIPT CAPITALS,710,0.700000,1,0.000000,35,34,11,22,20,20,1,1,1,1,1,1,1,1,1,232,255,255,255,255,255,255,255,71,1,1,1,1,1,1,1,1,1,1,39,237,255,255,255,255,255,255,255,71,1,1,1,1,1,1,1,1,1,1,209,255,255,255,255,255,255,255,255,71,1,1,1,1,1,1,1,1,1,68,226,255,255,255,255,255,255,255,255,138,18,1,1,1,1,1,1,1,1,186,255,255,255,255,255,255,255,255,255,255,47,1,1,1,1,1,1,1,90,224,255,255,255,255,255,255,255,255,255,255,47,1,1,1,1,1,1,1,163,255,255,255,255,255,255,255,255,255,255,255,47,1,1,1,1,1,85,186,230,255,255,255,255,255,255,255,255,255,255,255,199,18,1,1,1,1,117,255,255,255,255,255,255,255,255,255,255,255,255,255,255,24,1,1,1,85,243,255,255,255,255,255,255,255,255,255,255,255,255,255,255,24,1,1,8,108,255,255,255,255,255,234,255,255,255,255,255,255,255,255,255,45,1,1,71,255,255,255,255,255,255,24,255,255,255,255,255,255,255,255,255,255,1,14,121,255,255,255,255,255,199,18,192,255,255,255,255,255,255,255,255,255,1,47,255,255,255,255,255,255,47,1,24,255,255,255,255,255,255,255,255,255,12,142,255,255,255,255,255,171,26,1,14,161,255,255,255,255,255,255,255,255,24,255,255,255,255,255,255,71,1,1,1,47,255,255,255,255,255,255,255,255,171,255,255,255,255,167,94,26,1,1,1,18,138,255,255,255,255,255,255,108,255,255,255,255,255,117,1,1,1,1,1,1,71,255,255,255,255,255,255,24,255,255,255,255,161,22,1,1,1,1,1,1,14,123,255,255,123,47,47,5,255,255,255,255,140,1,1,1,1,1,1,1,1,94,255,255,94,1,1,1
